"name","allycode","estimatedScore","currentActual","lastActualScore","diff","diffPercent"
"Jaybee Ω","517227322",12236500,8760000,3600000,5160000,143.3
"καρζζ","293117171",13200000,10777500,6802500,3975000,58.4
"Noodlehead Jones","918418274",13200000,13200000,10050000,3150000,31.3
"soolo","211443325",17100000,17100000,14602500,2497500,17.1
"Force Ghost A","247175762",9483000,8280000,6000000,2280000,38
"PowerZ","341753365",10800000,10200000,8010000,2190000,27.3
"Snikers","711328158",8525500,7920000,5850000,2070000,35.4
"mountjl","144546612",14700000,14700000,13500000,1200000,8.9
"Mol Endinarius","546266818",11400000,11100000,10290000,810000,7.9
"Seydaneen","498183781",9600000,10140000,9600000,540000,5.6
"Charles","561322277",15300000,12600000,12150000,450000,3.7
"uzun4o","385111398",10500000,10500000,10050000,450000,4.5
"Eilleye","889953137",13200000,13200000,12982500,217500,1.7
"Darțh Ragnarok","848963679",9835500,9480000,9300000,180000,1.9
"Wladmir","475635164",6421000,4680000,4510000,170000,3.8
"Set Harth","815276889",7153500,5677500,5527500,150000,2.7
"onk","927418855",5771500,5497500,5467500,30000,0.5
"Luna Lovegood","168712897",10785000,8700000,8700000,0,0
"Sir3","169971229",12000000,11100000,11100000,0,0
"Forfs","172375865",17100000,17100000,17100000,0,0
"Amen","277226677",13500000,12600000,12600000,0,0
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",18000000,18000000,18000000,0,0
"Mitth'raw'nuruodo","368945983",12600000,13500000,13500000,0,0
"pikappa","479536574",6228000,6900000,6900000,0,0
"MΔWSΔssin","534823566",10782000,9000000,9000000,0,0
"ÐΛЯТHŁФЯÐ","546454824",16200000,16200000,16200000,0,0
"Klesk","548477854",11620000,11400000,11400000,0,0
"Koloch","564228343",13800000,0,,,
"TK6445","575217765",7969500,7050000,7050000,0,0
"Remo","617343877",14700000,14700000,14700000,0,0
"CookieCrispp","664316463",18000000,18000000,18000000,0,0
"Dai Ren Jinn","679424677",18000000,18000000,18000000,0,0
"Fraser","754528616",18000000,18000000,18000000,0,0
"Baker","781273553",14400000,12600000,12600000,0,0
"MINI Gewases Gait","781658169",16200000,16200000,16200000,0,0
"Kolin","895636154",17100000,17100000,17100000,0,0
"Morgoth","955838368",16200000,16200000,16200000,0,0
"R3D IX","412684243",13128000,12982500,13050000,-67500,-0.5
"Danarius","269662845",10800000,10440000,10575000,-135000,-1.3
"tenorman","389543546",8068500,6570000,6750000,-180000,-2.7
"Sirdavidsonj","956947937",7191000,6620000,6802500,-182500,-2.7
"MINI Binho","447521174",13500000,12975000,13275000,-300000,-2.3
"Leesus de Mol","194491658",8849500,6900000,7200000,-300000,-4.2
"slepy","144564766",7175500,5610000,6230000,-620000,-10
"DarthCiiid'r","364518768",4665000,2700000,3600000,-900000,-25
"Creative HD","368777242",7556500,5490000,6600000,-1110000,-16.8
"Lux Aeterna","666342982",17080500,12420000,13890000,-1470000,-10.6
"Iɳʋιƚαԃσ","887886159",15300000,11790000,13830000,-2040000,-14.8
"Kyle Katarn OG","124126581",15300000,11700000,14370000,-2670000,-18.6
"QuiGonJin","658131841",16200000,7200000,10800000,-3600000,-33.3
