"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",11583500,13500000,1916500,16.5
"Mitth'raw'nuruodo","368945983",11606000,13500000,1894000,16.3
"mountjl","144546612",15513500,17100000,1586500,10.2
"Noodlehead Jones","918418274",13269500,14625000,1355500,10.2
"Morgoth","955838368",14713500,16200000,1486500,10.1
"Remo","617343877",15620000,17100000,1480000,9.5
"MINI Gewases Gait","781658169",15635500,17100000,1464500,9.4
"Seydaneen","498183781",14005500,15300000,1294500,9.2
"Mol Endinarius","546266818",13307500,14400000,1092500,8.2
"Danarius","269662845",12680500,13500000,819500,6.5
"soolo","211443325",16397000,17100000,703000,4.3
"Fraser","754528616",17269000,18000000,731000,4.2
"Hammo","985188145",10100500,10500000,399500,4
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17400000,18000000,600000,3.4
"Klesk","548477854",11810000,12160000,350000,3
"CookieCrispp","664316463",17494000,18000000,506000,2.9
"MINI Binho","447521174",14920500,15300000,379500,2.5
"slepy","144564766",10605500,10800000,194500,1.8
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"FN LordCedric","988942664",16782500,,,
"Cire","363639736",13968000,13695000,-273000,-2
"uzun4o","385111398",13183500,12900000,-283500,-2.2
"pikappa","479536574",13218500,12900000,-318500,-2.4
"Kyle Katarn OG","124126581",15853500,15300000,-553500,-3.5
"Amen","277226677",12168000,11640000,-528000,-4.3
"Baker","781273553",13339000,12600000,-739000,-5.5
"Trent","382196579",12388500,11590000,-798500,-6.4
"Charles","561322277",15438500,14310000,-1128500,-7.3
"Set Harth","815276889",11127000,10185000,-942000,-8.5
"Leesus de Mol","194491658",10684000,9600000,-1084000,-10.1
"Eilleye","889953137",14171000,12660000,-1511000,-10.7
"onk","927418855",7200000,6300000,-900000,-12.5
"Kolin","895636154",16482500,14400000,-2082500,-12.6
"TK6445","575217765",11458500,9900000,-1558500,-13.6
"Sir3","169971229",12946000,11100000,-1846000,-14.3
"Darțh Ragnarok","848963679",12119500,10305000,-1814500,-15
"tenorman","389543546",13170500,10680000,-2490500,-18.9
"Forfs","172375865",16885000,13620000,-3265000,-19.3
"Creative HD","368777242",12746000,9180000,-3566000,-28
"Sirdavidsonj","956947937",12505500,9000000,-3505500,-28
"DarthCiiid'r","364518768",9899500,6790000,-3109500,-31.4
"ÐΛЯТHŁФЯÐ","546454824",16509500,10800000,-5709500,-34.6
"R3D IX","412684243",14164500,8595000,-5569500,-39.3
"Wladmir","475635164",10307500,6105000,-4202500,-40.8
"Snikers","711328158",11987000,7080000,-4907000,-40.9
"MΔWSΔssin","534823566",12741500,7200000,-5541500,-43.5
"καρζζ","293117171",13325000,6300000,-7025000,-52.7
"Luna Lovegood","168712897",15123500,4050000,-11073500,-73.2
"Lux Aeterna","666342982",16306000,3600000,-12706000,-77.9
"Jaybee Ω","517227322",14775000,2700000,-12075000,-81.7
