"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Force Ghost A","247175762",16443000,17100000,657000,4
"Hammo","985188145",13275500,13800000,524500,4
"mountjl","144546612",17384500,18000000,615500,3.5
"Seydaneen","498183781",16682500,17100000,417500,2.5
"Darțh Ragnarok","848963679",14566000,14895000,329000,2.3
"Fraser","754528616",17671000,18000000,329000,1.9
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17789000,18000000,211000,1.2
"Mitth'raw'nuruodo","368945983",14243500,14400000,156500,1.1
"Leesus de Mol","194491658",14325500,14400000,74500,0.5
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Morgoth","955838368",17424000,17100000,-324000,-1.9
"R3D IX","412684243",15659000,15300000,-359000,-2.3
"User1234","255227625",13734500,13380000,-354500,-2.6
"soolo","211443325",17630000,17100000,-530000,-3
"Sirdavidsonj","956947937",14734000,13905000,-829000,-5.6
"Set Harth","815276889",13076000,12285000,-791000,-6
"Noodlehead Jones","918418274",16396000,15300000,-1096000,-6.7
"Danarius","269662845",15464000,14400000,-1064000,-6.9
"slepy","144564766",13609500,12600000,-1009500,-7.4
"Mol Endinarius","546266818",15961000,14400000,-1561000,-9.8
"Amen","277226677",15096000,13500000,-1596000,-10.6
"Snikers","711328158",16167500,14400000,-1767500,-10.9
"Charles","561322277",16314000,14400000,-1914000,-11.7
"Luna Lovegood","168712897",17348000,15300000,-2048000,-11.8
"Wladmir","475635164",14181000,12455000,-1726000,-12.2
"tenorman","389543546",15448000,13500000,-1948000,-12.6
"Rolfey81","727183121",13204000,11100000,-2104000,-15.9
"Sgc8647","623292887",12235000,10245000,-1990000,-16.3
"Cire","363639736",16570500,13800000,-2770500,-16.7
"CookieCrispp","664316463",17581000,14400000,-3181000,-18.1
"Remo","617343877",16764000,13500000,-3264000,-19.5
"MINI Gewases Gait","781658169",16732000,13440000,-3292000,-19.7
"Kolin","895636154",17493500,13980000,-3513500,-20.1
"Creative HD","368777242",15967500,12600000,-3367500,-21.1
"Baker","781273553",15987000,12600000,-3387000,-21.2
"uzun4o","385111398",16677000,12900000,-3777000,-22.6
"Sir3","169971229",14078000,10800000,-3278000,-23.3
"Jaqen H'ghar","815768924",14026000,10740000,-3286000,-23.4
"TK6445","575217765",16646500,12600000,-4046500,-24.3
"Eilleye","889953137",16869000,12420000,-4449000,-26.4
"pikappa","479536574",17171500,12150000,-5021500,-29.2
"ER Darthpolli21","636722576",15018500,10140000,-4878500,-32.5
"MINI Binho","447521174",16122500,10800000,-5322500,-33
"καρζζ","293117171",16817500,10800000,-6017500,-35.8
"ER DarKnight","782938667",10067000,4800000,-5267000,-52.3
"Lux Aeterna","666342982",17103500,7200000,-9903500,-57.9
"Forfs","172375865",17608000,7200000,-10408000,-59.1
"onk","927418855",10007500,3600000,-6407500,-64
"ÐΛЯТHŁФЯÐ","546454824",17571500,0,-17571500,-100
"Kyle Katarn OG","124126581",16701000,0,-16701000,-100
