"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Grego Ren","324585528",9478000,10800000,1322000,13.9
"quentin","547933286",12000000,12600000,600000,5
"mountjl","144546612",17481500,18000000,518500,3
"Seydaneen","498183781",16741500,17100000,358500,2.1
"Fraser","754528616",17713500,18000000,286500,1.6
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",17833000,18000000,167000,0.9
"Leesus de Mol","194491658",14317500,14400000,82500,0.6
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"XxSimplyDEVOxX","684798227",11772000,11700000,-72000,-0.6
"Skyrunner","496743755",14633000,14400000,-233000,-1.6
"ψhαяρσση","722454792",17348500,16980000,-368500,-2.1
"Morgoth","955838368",17517500,17100000,-417500,-2.4
"soolo","211443325",17650500,17100000,-550500,-3.1
"Set Harth","815276889",13639500,13050000,-589500,-4.3
"Sirdavidsonj","956947937",14766500,13995000,-771500,-5.2
"Danarius","269662845",15562500,14400000,-1162500,-7.5
"Amen","277226677",15139500,13500000,-1639500,-10.8
"slepy","144564766",14163500,12600000,-1563500,-11
"Mitth'raw'nuruodo","368945983",14290500,12600000,-1690500,-11.8
"Cuttymax","536242193",13665000,12000000,-1665000,-12.2
"Luna Lovegood","168712897",17445500,15300000,-2145500,-12.3
"XxSimplySHAZAMxX","286997594",10022500,8700000,-1322500,-13.2
"GrievousAndButthead","631836389",15908000,13500000,-2408000,-15.1
"Noodlehead Jones","918418274",16430000,13720000,-2710000,-16.5
"CookieCrispp","664316463",17613500,14400000,-3213500,-18.2
"TK6445","575217765",17600500,14400000,-3200500,-18.2
"Sgc8647","623292887",13875500,11295000,-2580500,-18.6
"tenorman","389543546",15526000,12600000,-2926000,-18.8
"Kolin","895636154",17515500,14100000,-3415500,-19.5
"Remo","617343877",16767500,13500000,-3267500,-19.5
"MINI Gewases Gait","781658169",16785000,13500000,-3285000,-19.6
"Vxx","529988212",15684000,12600000,-3084000,-19.7
"Eilleye","889953137",16882500,13380000,-3502500,-20.7
"Mol Endinarius","546266818",15982000,12600000,-3382000,-21.2
"Sir3","169971229",14106000,10800000,-3306000,-23.4
"Baker","781273553",16922000,12600000,-4322000,-25.5
"User1234","255227625",16701000,12360000,-4341000,-26
"καρζζ","293117171",16833000,10800000,-6033000,-35.8
"Darțh Ragnarok","848963679",16013500,9900000,-6113500,-38.2
"Force Ghost A","247175762",16489500,9900000,-6589500,-40
"XxSimplyPOLOxX","336473447",14982500,8400000,-6582500,-43.9
"R3D IX","412684243",15703500,7200000,-8503500,-54.2
"MINI Binho","447521174",16142000,7200000,-8942000,-55.4
"Rolfey81","727183121",14254500,6300000,-7954500,-55.8
"Wladmir","475635164",14257500,6300000,-7957500,-55.8
"Lux Aeterna","666342982",17224500,7200000,-10024500,-58.2
"Mega Cire","172375865",17673500,7200000,-10473500,-59.3
"onk","927418855",10006500,3600000,-6406500,-64
"Hammo","985188145",13750000,3600000,-10150000,-73.8
"三 syìng 三","786841145",17138500,3600000,-13538500,-79
